doc_id,title,cluster_label,keyword_relevant,content_score
1,Doc 02: Indian security forces have shot dead eight suspected,"man, flight, reid, says",True,0.4165483193352446
12,Doc 13: President General Pervez Musharraf says Pakistan wants to,"said, pakistan, palestinian, says",True,0.38927694675920654
23,"Doc 24: Americans' fears about airplane security continue to increase,","man, flight, reid, says",False,0.08938804365082234
26,Doc 27: Pakistan's President Pervez Musharraf says he is ready,"said, pakistan, palestinian, says",True,0.1728897074469458
34,Doc 35: Pakistan's Foreign Ministry has announced retaliatory sanctions against,"said, pakistan, palestinian, says",True,0.21693877426291727
35,Doc 36: A spokesman for Afghanistan's Defence Ministry claims Osama,"said, pakistan, palestinian, says",False,0.0740000256585922
41,Doc 42: The man accused to trying to blow up,"man, flight, reid, says",False,0.04275563528054511
58,Doc 59: Pakistan President Pervez Musharraf believes there is a,"said, pakistan, palestinian, says",True,0.1321419941318625
63,Doc 64: Tight security is causing headaches for American travellers,"said, pakistan, palestinian, says",False,0.1197330134665022
75,Doc 76: US President George W Bush has marked the,"said, pakistan, palestinian, says",True,0.16640923950460607
