movieId,interaction_count,interaction_share,cumulative_share,long_tail_group
260,8,0.0975609756097561,0.0975609756097561,Head
589,8,0.0975609756097561,0.1951219512195122,Head
480,7,0.08536585365853659,0.2804878048780488,Head
1196,7,0.08536585365853659,0.3658536585365854,Head
1210,6,0.07317073170731707,0.4390243902439025,Head
356,6,0.07317073170731707,0.5121951219512195,Head
377,5,0.06097560975609756,0.5731707317073171,Head
367,5,0.06097560975609756,0.6341463414634148,Head
316,5,0.06097560975609756,0.6951219512195124,Head
1,5,0.06097560975609756,0.75609756097561,Head
780,5,0.06097560975609756,0.8170731707317076,Tail
593,5,0.06097560975609756,0.8780487804878052,Tail
1097,5,0.06097560975609756,0.9390243902439028,Tail
1198,5,0.06097560975609756,1.0000000000000004,Tail
