userId,movieId,rating,timestamp,rating_year,rating_month,day_name,is_weekend,rating_bucket,user_rating_count,user_mean_rating,user_rating_std,item_rating_count,item_mean_rating,item_rating_std,user_activity_segment,item_popularity_segment
1,260,4.0,2005-04-02 23:33:46,2005,4,Saturday,True,Good (3-4],7,3.9285714285714284,0.44986770542121857,8,4.625,0.5175491695067655,Low activity,Head
1,367,3.5,2005-04-02 23:53:00,2005,4,Saturday,True,Good (3-4],7,3.9285714285714284,0.44986770542121857,5,3.3,0.4472135954999579,Low activity,Tail
1,589,3.5,2005-04-02 23:45:57,2005,4,Saturday,True,Good (3-4],7,3.9285714285714284,0.44986770542121857,8,4.5,0.597614304667197,Low activity,Head
1,593,3.5,2005-04-02 23:31:01,2005,4,Saturday,True,Good (3-4],7,3.9285714285714284,0.44986770542121857,5,4.3,0.9746794344808964,Low activity,Tail
1,1097,4.0,2005-04-02 23:48:21,2005,4,Saturday,True,Good (3-4],7,3.9285714285714284,0.44986770542121857,5,4.5,0.5,Low activity,Tail
1,1196,4.5,2005-04-02 23:32:22,2005,4,Saturday,True,High (4-5],7,3.9285714285714284,0.44986770542121857,7,4.785714285714286,0.39339789623472166,Low activity,Middle
1,1198,4.5,2005-04-02 23:30:24,2005,4,Saturday,True,High (4-5],7,3.9285714285714284,0.44986770542121857,5,4.5,0.49999999999999994,Low activity,Tail
2,260,5.0,2000-11-21 15:36:54,2000,11,Tuesday,False,High (4-5],5,5.0,0.0,8,4.625,0.5175491695067655,Low activity,Head
2,480,5.0,2000-11-21 15:32:00,2000,11,Tuesday,False,High (4-5],5,5.0,0.0,7,4.571428571428571,0.5345224838248489,Low activity,Middle
2,589,5.0,2000-11-21 15:30:58,2000,11,Tuesday,False,High (4-5],5,5.0,0.0,8,4.5,0.597614304667197,Low activity,Head
2,1196,5.0,2000-11-21 15:36:54,2000,11,Tuesday,False,High (4-5],5,5.0,0.0,7,4.785714285714286,0.39339789623472166,Low activity,Middle
